Pairing ID,	Main Layover, Sequence,	Pairing Length(in days), No.of Legs, Max LNj, Min LNj, Pairing Length(in duty hours), Pairing Length(in block hours), Start time ,End time, Rest End time
447,KMG,-,5,2,1,1,61,11,4/10/2017 11:45:0,4/13/2017 0:45:0,4/14/2017 0:10:0,
448,RUH,-,4,2,1,1,37,11,4/16/2017 11:25:0,4/18/2017 1:15:0,4/19/2017 0:10:0,
449,NRT,-,6,2,1,1,47,19,4/21/2017 12:55:0,4/23/2017 12:45:0,4/26/2017 0:30:0,
450,-,-,2,2,2,2,10,8,4/26/2017 5:30:0,4/26/2017 16:25:0,4/27/2017 12:29:0,
451,-,-,3,2,2,2,5,3,4/27/2017 17:50:0,4/27/2017 23:20:0,4/29/2017 0:10:0,
452,KWI,-,4,2,1,1,37,11,4/3/2017 11:25:0,4/5/2017 1:15:0,4/6/2017 0:10:0,
453,-,-,2,2,2,2,10,8,4/7/2017 7:20:0,4/7/2017 17:20:0,4/8/2017 17:30:0,
454,BKK,-,5,4,2,1,66,14,4/10/2017 0:30:0,4/12/2017 18:40:0,4/14/2017 0:40:0,
455,KUL,-,4,4,3,1,40,11,4/14/2017 12:0:0,4/16/2017 4:45:0,4/17/2017 10:45:0,
456,SIN,-,4,4,3,1,42,11,4/18/2017 11:45:0,4/20/2017 6:5:0,4/21/2017 12:5:0,
457,-,-,2,2,2,2,10,7,4/23/2017 0:55:0,4/23/2017 10:55:0,4/23/2017 22:55:0,
458,-,-,4,2,2,2,12,10,4/24/2017 11:55:0,4/25/2017 0:0:0,4/27/2017 0:30:0,
459,-,-,2,2,2,2,11,8,4/27/2017 0:35:0,4/27/2017 12:20:0,4/28/2017 12:29:0,
460,-,-,2,2,2,2,11,9,4/29/2017 1:15:0,4/29/2017 12:20:0,4/30/2017 0:20:0,
461,DOH,-,4,2,1,1,37,10,4/3/2017 11:55:0,4/5/2017 0:55:0,4/6/2017 0:10:0,
462,SIN,-,4,4,3,1,42,11,4/6/2017 12:5:0,4/8/2017 6:5:0,4/9/2017 12:5:0,
463,DOH,-,4,4,3,1,41,13,4/10/2017 6:55:0,4/12/2017 0:50:0,4/13/2017 0:10:0,
464,-,-,2,2,2,2,11,9,4/13/2017 1:15:0,4/13/2017 12:20:0,4/14/2017 0:20:0,
465,-,-,2,2,2,2,11,9,4/16/2017 0:40:0,4/16/2017 12:30:0,4/17/2017 0:30:0,
466,-,-,4,2,2,2,12,10,4/17/2017 11:50:0,4/17/2017 23:55:0,4/20/2017 0:30:0,
467,BKK,-,5,4,2,1,65,14,4/20/2017 0:30:0,4/22/2017 17:55:0,4/23/2017 23:55:0,
468,-,-,2,2,2,2,10,7,4/25/2017 0:55:0,4/25/2017 10:55:0,4/25/2017 22:55:0,
469,-,-,3,2,2,2,11,9,4/27/2017 12:30:0,4/27/2017 23:55:0,4/29/2017 17:30:0,
470,-,-,4,2,2,2,12,10,4/5/2017 11:50:0,4/5/2017 23:55:0,4/8/2017 0:30:0,
471,-,-,3,2,2,2,5,3,4/9/2017 17:50:0,4/9/2017 23:20:0,4/11/2017 0:10:0,
472,SIN,-,4,4,3,1,42,11,4/11/2017 11:45:0,4/13/2017 6:5:0,4/14/2017 12:5:0,
473,NRT,-,8,2,1,1,95,19,4/16/2017 12:55:0,4/20/2017 12:45:0,4/23/2017 0:30:0,
474,-,-,2,2,2,2,11,9,4/23/2017 0:40:0,4/23/2017 12:30:0,4/24/2017 0:30:0,
475,SIN,-,4,4,3,1,42,11,4/24/2017 11:45:0,4/26/2017 6:5:0,4/27/2017 12:5:0,
476,LHR,-,6,2,1,1,49,23,4/28/2017 6:0:0,4/30/2017 7:40:0,5/3/2017 0:30:0,
477,DOH,-,4,2,1,1,36,10,4/11/2017 12:0:0,4/13/2017 0:50:0,4/14/2017 0:10:0,
478,-,-,2,2,2,2,12,10,4/14/2017 0:30:0,4/14/2017 12:30:0,4/15/2017 0:30:0,
479,PEK,-,5,2,1,1,66,15,4/17/2017 5:55:0,4/20/2017 0:40:0,4/21/2017 9:30:0,
480,PEK,-,5,4,3,1,71,16,4/3/2017 0:35:0,4/6/2017 0:15:0,4/7/2017 9:30:0,
481,-,-,4,2,2,2,12,10,4/9/2017 11:55:0,4/10/2017 0:0:0,4/12/2017 0:30:0,
482,KMG,-,5,2,1,1,61,11,4/12/2017 11:45:0,4/15/2017 0:45:0,4/16/2017 0:10:0,
483,-,-,2,2,2,2,10,8,4/16/2017 7:10:0,4/16/2017 17:20:0,4/17/2017 17:30:0,
484,LHR,-,6,2,1,1,49,23,4/19/2017 6:0:0,4/21/2017 7:40:0,4/24/2017 0:30:0,
485,JED,-,4,2,1,1,39,13,4/24/2017 7:55:0,4/25/2017 23:15:0,4/27/2017 0:10:0,
486,-,-,3,2,2,2,7,5,4/27/2017 16:55:0,4/28/2017 0:35:0,4/29/2017 0:10:0,
487,-,-,2,2,2,2,9,7,4/29/2017 6:35:0,4/29/2017 16:5:0,4/30/2017 17:30:0,
488,BKK,-,5,4,2,1,65,14,4/4/2017 0:20:0,4/6/2017 17:55:0,4/7/2017 23:55:0,
489,-,-,2,2,2,2,11,8,4/10/2017 5:25:0,4/10/2017 16:25:0,4/11/2017 12:29:0,
490,RUH,-,4,2,1,1,37,11,4/13/2017 11:25:0,4/15/2017 1:15:0,4/16/2017 0:10:0,
491,-,-,2,2,2,2,10,8,4/16/2017 0:40:0,4/16/2017 11:20:0,4/17/2017 12:29:0,
492,KMG,-,5,2,1,1,61,11,4/19/2017 11:45:0,4/22/2017 0:45:0,4/23/2017 0:10:0,
493,-,-,2,2,2,2,10,8,4/23/2017 0:40:0,4/23/2017 11:20:0,4/24/2017 12:29:0,
494,KUL,-,4,4,3,1,40,11,4/28/2017 12:0:0,4/30/2017 4:45:0,5/1/2017 10:45:0,
495,PEK,-,5,4,3,1,72,16,4/5/2017 0:35:0,4/8/2017 0:50:0,4/9/2017 9:30:0,
496,BKK,-,4,4,3,1,41,10,4/9/2017 12:5:0,4/11/2017 6:0:0,4/12/2017 12:0:0,
497,-,-,2,2,2,2,10,8,4/14/2017 0:35:0,4/14/2017 11:20:0,4/15/2017 12:29:0,
498,-,-,3,2,2,2,11,9,4/15/2017 12:30:0,4/15/2017 23:55:0,4/17/2017 17:30:0,
499,KUL,-,4,4,3,1,40,11,4/18/2017 12:0:0,4/20/2017 4:45:0,4/21/2017 10:45:0,
500,-,-,2,2,2,2,12,10,4/22/2017 0:30:0,4/22/2017 12:30:0,4/23/2017 0:30:0,
501,LHR,-,6,2,1,1,49,23,4/23/2017 6:0:0,4/25/2017 7:40:0,4/28/2017 0:30:0,
502,-,-,4,2,2,2,12,10,4/29/2017 11:55:0,4/30/2017 0:0:0,5/2/2017 0:30:0,
503,KUL,-,4,4,3,1,40,11,4/6/2017 12:0:0,4/8/2017 4:45:0,4/9/2017 10:45:0,
504,-,-,2,2,2,2,11,8,4/11/2017 5:25:0,4/11/2017 16:25:0,4/12/2017 12:29:0,
505,-,-,3,2,2,2,5,3,4/12/2017 17:50:0,4/12/2017 23:20:0,4/14/2017 0:10:0,
506,LHR,-,6,2,1,1,49,23,4/15/2017 6:0:0,4/17/2017 7:40:0,4/20/2017 0:30:0,
507,BKK,-,4,4,3,1,41,10,4/20/2017 12:5:0,4/22/2017 6:0:0,4/23/2017 12:0:0,
508,-,-,3,2,2,2,10,8,4/23/2017 13:20:0,4/24/2017 0:5:0,4/25/2017 0:10:0,
509,-,-,4,2,2,2,12,10,4/26/2017 11:55:0,4/27/2017 0:0:0,4/29/2017 0:30:0,
510,-,-,3,2,2,2,7,5,4/3/2017 16:50:0,4/4/2017 0:35:0,4/5/2017 0:10:0,
511,-,-,2,2,2,2,11,8,4/5/2017 1:0:0,4/5/2017 12:20:0,4/6/2017 17:30:0,
512,PVG,-,5,2,1,1,65,15,4/10/2017 6:40:0,4/13/2017 0:35:0,4/14/2017 9:30:0,
513,-,-,3,2,2,2,11,9,4/14/2017 12:30:0,4/14/2017 23:55:0,4/16/2017 17:30:0,
514,SIN,-,4,4,3,1,42,11,4/17/2017 11:45:0,4/19/2017 6:5:0,4/20/2017 12:5:0,
515,BKK,-,4,4,3,1,41,10,4/22/2017 12:5:0,4/24/2017 6:0:0,4/25/2017 12:0:0,
516,-,-,1,2,2,2,11,9,4/25/2017 19:15:0,4/26/2017 6:20:0,4/26/2017 18:20:0,
517,-,-,2,2,2,2,11,8,4/27/2017 5:25:0,4/27/2017 16:25:0,4/28/2017 12:29:0,
518,PVG,-,5,4,3,1,72,15,4/3/2017 0:45:0,4/6/2017 0:55:0,4/7/2017 9:30:0,
519,DOH,-,4,2,1,1,36,10,4/8/2017 12:0:0,4/10/2017 0:50:0,4/11/2017 0:10:0,
520,BKK,-,5,4,2,1,65,14,4/11/2017 0:20:0,4/13/2017 17:55:0,4/14/2017 23:55:0,
521,JED,-,4,2,1,1,39,13,4/16/2017 7:55:0,4/17/2017 23:15:0,4/19/2017 0:10:0,
522,-,-,2,2,2,2,12,10,4/19/2017 0:30:0,4/19/2017 12:30:0,4/20/2017 0:30:0,
523,-,-,2,2,2,2,11,9,4/22/2017 1:15:0,4/22/2017 12:20:0,4/23/2017 0:20:0,
524,-,-,4,2,2,2,12,10,4/23/2017 11:55:0,4/24/2017 0:0:0,4/26/2017 0:30:0,
525,-,-,2,2,2,2,8,7,4/28/2017 1:40:0,4/28/2017 10:35:0,4/28/2017 22:35:0,
526,-,-,4,2,2,2,12,10,4/29/2017 11:50:0,4/29/2017 23:55:0,5/2/2017 0:30:0,
527,JED,-,4,2,1,1,39,13,4/5/2017 9:35:0,4/7/2017 1:10:0,4/8/2017 0:10:0,
528,KUL,-,4,4,3,1,40,11,4/9/2017 12:0:0,4/11/2017 4:45:0,4/12/2017 10:45:0,
529,LHR,-,6,2,1,1,49,23,4/14/2017 6:0:0,4/16/2017 7:40:0,4/19/2017 0:30:0,
530,-,-,2,2,2,2,9,7,4/20/2017 6:35:0,4/20/2017 16:5:0,4/21/2017 17:30:0,
531,-,-,4,2,2,2,12,10,4/22/2017 11:50:0,4/22/2017 23:55:0,4/25/2017 0:30:0,
532,-,-,2,2,2,2,11,9,4/27/2017 1:15:0,4/27/2017 12:20:0,4/28/2017 0:20:0,
533,-,-,2,2,2,2,11,8,4/4/2017 0:10:0,4/4/2017 11:45:0,4/5/2017 12:29:0,
534,PVG,-,6,2,1,1,89,15,4/7/2017 7:20:0,4/11/2017 0:35:0,4/12/2017 9:30:0,
535,-,-,4,2,2,2,13,11,4/13/2017 11:45:0,4/14/2017 1:0:0,4/16/2017 0:30:0,
536,KWI,-,4,2,1,1,37,11,4/21/2017 11:25:0,4/23/2017 1:15:0,4/24/2017 0:10:0,
537,LHR,-,6,2,1,1,49,23,4/25/2017 6:0:0,4/27/2017 7:40:0,4/30/2017 0:30:0,
538,LHR,-,6,2,1,1,54,23,4/6/2017 0:50:0,4/8/2017 7:45:0,4/11/2017 0:30:0,
539,-,-,2,2,2,2,9,7,4/11/2017 6:35:0,4/11/2017 16:5:0,4/12/2017 17:30:0,
540,KMG,-,6,2,1,1,85,11,4/14/2017 11:45:0,4/18/2017 0:45:0,4/19/2017 0:10:0,
541,-,-,2,2,2,2,11,7,4/19/2017 0:55:0,4/19/2017 12:30:0,4/20/2017 0:30:0,
542,-,-,2,2,2,2,12,10,4/21/2017 0:30:0,4/21/2017 12:30:0,4/22/2017 0:30:0,
543,-,-,2,2,2,2,9,7,4/22/2017 6:35:0,4/22/2017 16:5:0,4/23/2017 17:30:0,
544,PEK,-,5,2,1,1,65,15,4/26/2017 6:45:0,4/29/2017 0:40:0,4/30/2017 9:30:0,
545,-,-,2,2,2,2,11,8,4/4/2017 1:0:0,4/4/2017 12:20:0,4/5/2017 17:30:0,
546,RUH,-,4,2,1,1,37,11,4/10/2017 11:25:0,4/12/2017 1:15:0,4/13/2017 0:10:0,
547,KWI,-,4,2,1,1,37,11,4/14/2017 11:25:0,4/16/2017 1:15:0,4/17/2017 0:10:0,
548,-,-,4,2,2,2,12,10,4/20/2017 11:50:0,4/20/2017 23:55:0,4/23/2017 0:30:0,
549,-,-,3,2,2,2,5,3,4/23/2017 17:50:0,4/23/2017 23:20:0,4/25/2017 0:10:0,
550,-,-,3,2,2,2,10,8,4/30/2017 13:20:0,5/1/2017 0:5:0,5/2/2017 0:10:0,
551,-,-,3,2,2,2,11,9,4/4/2017 12:30:0,4/4/2017 23:55:0,4/6/2017 17:30:0,
552,RUH,-,4,2,1,1,37,11,4/9/2017 11:25:0,4/11/2017 1:15:0,4/12/2017 0:10:0,
553,-,-,2,2,2,2,9,7,4/12/2017 6:35:0,4/12/2017 16:5:0,4/13/2017 17:30:0,
554,-,-,2,2,2,2,10,8,4/14/2017 5:30:0,4/14/2017 16:25:0,4/15/2017 12:29:0,
555,DOH,-,4,4,3,1,42,13,4/16/2017 6:40:0,4/18/2017 0:50:0,4/19/2017 0:10:0,
556,-,-,2,2,2,2,10,8,4/19/2017 7:10:0,4/19/2017 17:20:0,4/20/2017 17:30:0,
557,-,-,3,2,2,2,5,3,4/22/2017 17:50:0,4/22/2017 23:20:0,4/24/2017 0:10:0,
558,BKK,-,5,4,2,1,66,14,4/24/2017 0:30:0,4/26/2017 18:40:0,4/28/2017 0:40:0,
559,-,-,3,2,2,2,7,5,4/5/2017 16:50:0,4/6/2017 0:35:0,4/7/2017 0:10:0,
560,-,-,2,2,2,2,10,8,4/8/2017 7:10:0,4/8/2017 17:20:0,4/9/2017 17:30:0,
561,-,-,3,2,2,2,10,8,4/11/2017 13:20:0,4/12/2017 0:5:0,4/13/2017 0:10:0,
562,-,-,2,2,2,2,10,7,4/14/2017 0:55:0,4/14/2017 10:55:0,4/14/2017 22:55:0,
563,PEK,-,5,2,1,1,65,15,4/15/2017 6:45:0,4/18/2017 0:40:0,4/19/2017 9:30:0,
564,-,-,3,2,2,2,7,5,4/19/2017 16:55:0,4/20/2017 0:35:0,4/21/2017 0:10:0,
565,KWI,-,4,2,1,1,37,11,4/24/2017 11:25:0,4/26/2017 1:15:0,4/27/2017 0:10:0,
566,DOH,-,4,2,1,1,37,10,4/4/2017 11:55:0,4/6/2017 0:55:0,4/7/2017 0:10:0,
567,LHR,-,6,2,1,1,49,23,4/9/2017 6:0:0,4/11/2017 7:40:0,4/14/2017 0:30:0,
568,RUH,-,4,2,1,1,37,11,4/14/2017 11:25:0,4/16/2017 1:15:0,4/17/2017 0:10:0,
569,-,-,2,2,2,2,11,9,4/19/2017 0:40:0,4/19/2017 12:30:0,4/20/2017 0:30:0,
570,-,-,2,2,2,2,10,8,4/21/2017 0:35:0,4/21/2017 11:20:0,4/22/2017 12:29:0,
571,KWI,-,4,2,1,1,37,11,4/26/2017 11:25:0,4/28/2017 1:15:0,4/29/2017 0:10:0,
572,-,-,3,2,2,2,5,3,4/29/2017 17:50:0,4/29/2017 23:20:0,5/1/2017 0:10:0,
573,-,-,2,2,2,2,11,8,4/5/2017 0:35:0,4/5/2017 11:40:0,4/6/2017 12:29:0,
574,SIN,-,4,4,3,1,42,11,4/7/2017 12:5:0,4/9/2017 6:5:0,4/10/2017 12:5:0,
575,KWI,-,4,2,1,1,37,11,4/12/2017 11:25:0,4/14/2017 1:15:0,4/15/2017 0:10:0,
576,-,-,2,2,2,2,12,10,4/15/2017 0:30:0,4/15/2017 12:30:0,4/16/2017 0:30:0,
577,BKK,-,5,4,2,1,66,14,4/17/2017 0:30:0,4/19/2017 18:40:0,4/21/2017 0:40:0,
578,NRT,-,8,2,1,1,95,19,4/23/2017 12:55:0,4/27/2017 12:45:0,4/30/2017 0:30:0,
579,-,-,2,2,2,2,10,8,4/30/2017 0:35:0,4/30/2017 11:20:0,5/1/2017 12:29:0,
580,KMG,-,5,2,1,1,61,11,4/5/2017 11:45:0,4/8/2017 0:45:0,4/9/2017 0:10:0,
581,KWI,-,4,2,1,1,37,11,4/9/2017 11:25:0,4/11/2017 1:15:0,4/12/2017 0:10:0,
582,-,-,2,2,2,2,9,7,4/15/2017 6:35:0,4/15/2017 16:5:0,4/16/2017 17:30:0,
583,BKK,-,5,4,2,1,66,13,4/19/2017 0:20:0,4/21/2017 18:40:0,4/23/2017 0:40:0,
584,KUL,-,4,4,3,1,40,11,4/24/2017 12:0:0,4/26/2017 4:45:0,4/27/2017 10:45:0,
585,PVG,-,4,2,1,1,41,15,4/13/2017 6:40:0,4/15/2017 0:35:0,4/16/2017 9:30:0,
586,KUL,-,4,4,3,1,40,11,4/19/2017 12:0:0,4/21/2017 4:45:0,4/22/2017 10:45:0,
587,BKK,-,4,4,3,1,41,10,4/24/2017 12:5:0,4/26/2017 6:0:0,4/27/2017 12:0:0,
588,RUH,-,4,2,1,1,37,11,4/28/2017 11:25:0,4/30/2017 1:15:0,5/1/2017 0:10:0,
589,-,-,2,2,2,2,11,8,4/3/2017 0:10:0,4/3/2017 11:45:0,4/4/2017 12:29:0,
590,KWI,-,4,2,1,1,37,11,4/6/2017 11:25:0,4/8/2017 1:15:0,4/9/2017 0:10:0,
591,-,-,4,2,2,2,12,10,4/11/2017 11:55:0,4/12/2017 0:0:0,4/14/2017 0:30:0,
592,SIN,-,4,4,3,1,42,11,4/20/2017 11:50:0,4/22/2017 6:5:0,4/23/2017 12:5:0,
593,-,-,4,2,2,2,12,10,4/24/2017 11:50:0,4/24/2017 23:55:0,4/27/2017 0:30:0,
594,-,-,2,2,2,2,10,8,4/28/2017 5:30:0,4/28/2017 16:25:0,4/29/2017 12:29:0,
595,-,-,2,2,2,2,10,8,4/30/2017 7:10:0,4/30/2017 17:20:0,5/1/2017 17:30:0,
596,DOH,-,4,2,1,1,37,10,4/5/2017 11:55:0,4/7/2017 0:55:0,4/8/2017 0:10:0,
597,BKK,-,4,4,3,1,42,10,4/8/2017 11:50:0,4/10/2017 6:0:0,4/11/2017 12:0:0,
598,-,-,2,2,2,2,11,8,4/12/2017 0:40:0,4/12/2017 12:20:0,4/13/2017 12:29:0,
599,-,-,2,2,2,2,10,8,4/14/2017 7:10:0,4/14/2017 17:20:0,4/15/2017 17:30:0,
600,-,-,2,2,2,2,10,7,4/17/2017 0:55:0,4/17/2017 10:55:0,4/17/2017 22:55:0,
601,-,-,3,2,2,2,5,3,4/18/2017 17:50:0,4/18/2017 23:20:0,4/20/2017 0:10:0,
602,-,-,3,2,2,2,10,8,4/20/2017 13:20:0,4/21/2017 0:5:0,4/22/2017 0:10:0,
603,LHR,-,4,3,2,1,59,24,4/4/2017 0:50:0,4/6/2017 12:20:0,4/7/2017 4:0:0,
604,KUL,-,4,4,3,1,40,11,4/12/2017 12:0:0,4/14/2017 4:45:0,4/15/2017 10:45:0,
605,SIN,-,4,4,3,1,42,11,4/16/2017 11:45:0,4/18/2017 6:5:0,4/19/2017 12:5:0,
606,PEK,-,4,2,1,1,42,15,4/21/2017 5:55:0,4/23/2017 0:40:0,4/24/2017 9:30:0,
607,-,-,3,2,2,2,5,3,4/24/2017 17:50:0,4/24/2017 23:20:0,4/26/2017 0:10:0,
608,-,-,2,2,2,2,11,8,4/26/2017 0:40:0,4/26/2017 12:20:0,4/27/2017 12:29:0,
609,BKK,-,5,4,2,1,66,13,4/12/2017 0:20:0,4/14/2017 18:40:0,4/16/2017 0:40:0,
610,SIN,-,4,4,3,1,42,11,4/19/2017 11:45:0,4/21/2017 6:5:0,4/22/2017 12:5:0,
611,SIN,-,4,4,3,1,42,11,4/23/2017 11:45:0,4/25/2017 6:5:0,4/26/2017 12:5:0,
612,DOH,-,4,4,3,1,41,13,4/27/2017 6:55:0,4/29/2017 0:50:0,4/30/2017 0:10:0,
613,KWI,-,4,2,1,1,37,11,4/4/2017 11:25:0,4/6/2017 1:15:0,4/7/2017 0:10:0,
614,SIN,-,4,4,3,1,42,11,4/8/2017 12:5:0,4/10/2017 6:5:0,4/11/2017 12:5:0,
615,RUH,-,4,2,1,1,37,11,4/12/2017 11:25:0,4/14/2017 1:15:0,4/15/2017 0:10:0,
616,JED,-,4,2,1,1,39,13,4/17/2017 7:55:0,4/18/2017 23:15:0,4/20/2017 0:10:0,
617,-,-,2,2,2,2,11,8,4/20/2017 5:25:0,4/20/2017 16:25:0,4/21/2017 12:29:0,
618,-,-,4,2,2,2,12,10,4/22/2017 11:55:0,4/23/2017 0:0:0,4/25/2017 0:30:0,
619,-,-,2,2,2,2,11,9,4/12/2017 0:40:0,4/12/2017 12:30:0,4/13/2017 0:30:0,
620,DOH,-,4,4,3,1,41,13,4/13/2017 6:55:0,4/15/2017 0:50:0,4/16/2017 0:10:0,
621,-,-,2,2,2,2,9,7,4/18/2017 6:35:0,4/18/2017 16:5:0,4/19/2017 17:30:0,
622,DOH,-,4,4,3,1,41,13,4/20/2017 6:55:0,4/22/2017 0:50:0,4/23/2017 0:10:0,
623,-,-,2,2,2,2,12,10,4/23/2017 0:30:0,4/23/2017 12:30:0,4/24/2017 0:30:0,
624,LHR,-,6,2,1,1,49,23,4/24/2017 6:0:0,4/26/2017 7:40:0,4/29/2017 0:30:0,
625,RUH,-,4,2,1,1,37,11,4/4/2017 11:25:0,4/6/2017 1:15:0,4/7/2017 0:10:0,
626,KWI,-,4,2,1,1,37,11,4/8/2017 11:25:0,4/10/2017 1:15:0,4/11/2017 0:10:0,
627,-,-,2,2,2,2,11,7,4/12/2017 0:55:0,4/12/2017 12:30:0,4/13/2017 0:30:0,
628,-,-,2,2,2,2,11,8,4/15/2017 5:25:0,4/15/2017 16:25:0,4/16/2017 12:29:0,
629,-,-,3,2,2,2,7,5,4/16/2017 16:55:0,4/17/2017 0:35:0,4/18/2017 0:10:0,
630,BKK,-,5,4,2,1,65,14,4/18/2017 0:20:0,4/20/2017 17:55:0,4/21/2017 23:55:0,
631,RUH,-,4,2,1,1,37,11,4/22/2017 11:25:0,4/24/2017 1:15:0,4/25/2017 0:10:0,
632,-,-,4,2,2,2,12,10,4/12/2017 11:50:0,4/12/2017 23:55:0,4/15/2017 0:30:0,
633,-,-,3,2,2,2,7,5,4/17/2017 16:55:0,4/18/2017 0:35:0,4/19/2017 0:10:0,
634,-,-,4,2,2,2,12,10,4/19/2017 11:50:0,4/19/2017 23:55:0,4/22/2017 0:30:0,
635,-,-,2,2,2,2,10,8,4/25/2017 7:10:0,4/25/2017 17:20:0,4/26/2017 17:30:0,
636,-,-,3,2,2,2,5,3,4/26/2017 17:50:0,4/26/2017 23:20:0,4/28/2017 0:10:0,
637,-,-,3,2,2,2,5,3,4/6/2017 18:5:0,4/6/2017 23:50:0,4/8/2017 0:10:0,
638,-,-,3,2,2,2,5,3,4/11/2017 18:25:0,4/12/2017 0:0:0,4/13/2017 0:10:0,
639,KMG,-,5,2,1,1,61,11,4/17/2017 11:45:0,4/20/2017 0:45:0,4/21/2017 0:10:0,
640,JED,-,4,2,1,1,39,13,4/22/2017 7:55:0,4/23/2017 23:15:0,4/25/2017 0:10:0,
641,BKK,-,5,4,2,1,65,14,4/25/2017 0:20:0,4/27/2017 17:55:0,4/28/2017 23:55:0,
642,-,-,2,2,2,2,11,8,4/6/2017 1:0:0,4/6/2017 12:20:0,4/7/2017 17:30:0,
643,KWI,-,4,2,1,1,37,11,4/10/2017 11:25:0,4/12/2017 1:15:0,4/13/2017 0:10:0,
644,-,-,2,2,2,2,8,7,4/14/2017 1:40:0,4/14/2017 10:35:0,4/14/2017 22:35:0,
645,-,-,2,2,2,2,9,7,4/26/2017 6:35:0,4/26/2017 16:5:0,4/27/2017 17:30:0,
646,BKK,-,5,4,2,1,66,13,4/28/2017 0:20:0,4/30/2017 18:40:0,5/2/2017 0:40:0,
647,BAH,-,4,2,1,1,37,11,4/4/2017 11:50:0,4/6/2017 1:10:0,4/7/2017 0:10:0,
648,PEK,-,5,2,1,1,65,15,4/19/2017 6:45:0,4/22/2017 0:40:0,4/23/2017 9:30:0,
649,-,-,2,2,2,2,10,8,4/24/2017 0:35:0,4/24/2017 11:20:0,4/25/2017 12:29:0,
650,-,-,3,2,2,2,10,8,4/25/2017 13:20:0,4/26/2017 0:5:0,4/27/2017 0:10:0,
651,BKK,-,4,4,3,1,42,10,4/7/2017 11:50:0,4/9/2017 6:0:0,4/10/2017 12:0:0,
652,-,-,4,2,2,2,12,10,4/11/2017 11:50:0,4/11/2017 23:55:0,4/14/2017 0:30:0,
653,PEK,-,5,2,1,1,66,15,4/24/2017 5:55:0,4/27/2017 0:40:0,4/28/2017 9:30:0,
654,-,-,3,2,2,2,11,7,4/6/2017 12:35:0,4/7/2017 0:10:0,4/8/2017 0:10:0,
655,-,-,2,2,2,2,11,9,4/8/2017 1:15:0,4/8/2017 12:20:0,4/9/2017 0:20:0,
656,-,-,3,2,2,2,7,5,4/9/2017 16:55:0,4/10/2017 0:35:0,4/11/2017 0:10:0,
657,PEK,-,5,2,1,1,65,15,4/22/2017 6:45:0,4/25/2017 0:40:0,4/26/2017 9:30:0,
658,BKK,-,5,4,2,1,65,14,4/27/2017 0:30:0,4/29/2017 17:55:0,4/30/2017 23:55:0,
659,-,-,4,2,2,2,12,10,4/8/2017 11:50:0,4/8/2017 23:55:0,4/11/2017 0:30:0,
660,-,-,2,2,2,2,11,8,4/12/2017 0:35:0,4/12/2017 12:20:0,4/13/2017 12:29:0,
661,-,-,2,2,2,2,10,8,4/14/2017 0:40:0,4/14/2017 11:20:0,4/15/2017 12:29:0,
662,BKK,-,5,4,2,1,66,14,4/3/2017 0:30:0,4/5/2017 18:40:0,4/7/2017 0:40:0,
663,-,-,3,2,2,2,5,3,4/9/2017 17:50:0,4/9/2017 23:20:0,4/11/2017 0:10:0,
664,-,-,2,2,2,2,12,10,4/13/2017 0:30:0,4/13/2017 12:30:0,4/14/2017 0:30:0,
665,-,-,2,2,2,2,10,8,4/23/2017 7:10:0,4/23/2017 17:20:0,4/24/2017 17:30:0,
666,-,-,3,2,2,2,5,3,4/25/2017 17:50:0,4/25/2017 23:20:0,4/27/2017 0:10:0,
667,BKK,-,4,4,3,1,41,10,4/27/2017 12:5:0,4/29/2017 6:0:0,4/30/2017 12:0:0,
668,-,-,4,2,2,2,12,11,4/3/2017 12:20:0,4/4/2017 1:10:0,4/6/2017 0:30:0,
669,-,-,2,2,2,2,11,9,4/6/2017 0:40:0,4/6/2017 12:15:0,4/7/2017 0:15:0,
670,-,-,2,2,2,2,10,7,4/8/2017 0:55:0,4/8/2017 10:55:0,4/8/2017 22:55:0,
671,-,-,3,2,2,2,5,3,4/21/2017 17:50:0,4/21/2017 23:20:0,4/23/2017 0:10:0,
